,curv,lat_middle,lon_middle,lanes,road_category,road_name,direction
9551,0.0008334589900970001,47.672074925879,10.411420395890064,2,Autobahn,A7,N
9552,0.0008349635826187,47.672082642602426,10.41141356186435,2,Autobahn,A7,N
9553,0.0008364629353941,47.6720903483827,10.411406710567523,2,Autobahn,A7,N
9554,0.0008379581747062,47.67209805037224,10.411399841068473,2,Autobahn,A7,N
9555,0.0008394507459523,47.672105746377184,10.4113929672723,2,Autobahn,A7,N
9556,0.00084094174499,47.67211344664086,10.41138609634924,2,Autobahn,A7,N
9557,0.0008424309989263,47.672121151673096,10.411379245206877,2,Autobahn,A7,N
9558,0.0008439162291741,47.67212887017822,10.411372419935963,2,Autobahn,A7,N
9559,0.0008453931381067,47.672136590420884,10.411365607020617,2,Autobahn,A7,N
9560,0.0008468570426239,47.67214428808613,10.411358731584311,2,Autobahn,A7,N
9561,0.0008483047359873,47.67215196963746,10.411351826504461,2,Autobahn,A7,N
9562,0.0008497347124347,47.67215964933617,10.41134490893959,2,Autobahn,A7,N
9563,0.0008511462354711,47.67216732193465,10.411337983272778,2,Autobahn,A7,N
9564,0.0008525387186998,47.672174992435906,10.411331045198533,2,Autobahn,A7,N
9565,0.0008539116075489999,47.67218265565631,10.411324099372539,2,Autobahn,A7,N
9566,0.0008552643780118,47.67219031692194,10.411317140802256,2,Autobahn,A7,N
9567,0.0008565965367386,47.67219797079966,10.411310174495279,2,Autobahn,A7,N
9568,0.0008579076201374,47.67220562289146,10.411303195360526,2,Autobahn,A7,N
9569,0.0008591971934985,47.67221326743639,10.41129620853813,2,Autobahn,A7,N
9570,0.0008604648513168,47.6722209099605,10.411289208934996,2,Autobahn,A7,N
9571,0.0008617102163999999,47.672228550559176,10.411282196592383,2,Autobahn,A7,N
9572,0.0008629329387146,47.67223618340365,10.411275176728454,2,Autobahn,A7,N
9573,0.0008641326963596,47.67224381395466,10.411268144105671,2,Autobahn,A7,N
9574,0.0008653091954359,47.67225143771611,10.411261103288053,2,Autobahn,A7,N
9575,0.0008664621682926,47.67225905867424,10.411254050178501,2,Autobahn,A7,N
9576,0.0008675913731018,47.67226667255017,10.411246988889836,2,Autobahn,A7,N
9577,0.0008686965930825,47.6722742841486,10.41123991507972,2,Autobahn,A7,N
9578,0.0008697776354477,47.67228188808495,10.411232833431496,2,Autobahn,A7,N
9579,0.0008708343315669999,47.672289490095075,10.411225738907634,2,Autobahn,A7,N
9580,0.0008718665366377,47.672297089418834,10.411218631911481,2,Autobahn,A7,N
9581,0.0008728741287658,47.67230468171177,10.411211516782538,2,Autobahn,A7,N
9582,0.0008738570088580001,47.672312271268474,10.411204389187613,2,Autobahn,A7,N
9583,0.0008748151010879,47.672319853281145,10.411197253823488,2,Autobahn,A7,N
9584,0.0008757483524784,47.67232743328586,10.411190105393679,2,Autobahn,A7,N
9585,0.0008766567311038,47.672335005416365,10.411182949490003,2,Autobahn,A7,N
9586,0.000877540224626,47.67234257564996,10.411175780544696,2,Autobahn,A7,N
9587,0.0008783988408992,47.672350137670726,10.411168604169598,2,Autobahn,A7,N
9588,0.0008792326086089,47.67235769808444,10.411161414565301,2,Autobahn,A7,N
9589,0.0008800415765943,47.6723652555266,10.411154212612812,2,Autobahn,A7,N
9590,0.0008808258134088,47.672372805477934,10.411147002819387,2,Autobahn,A7,N
9591,0.0008815854060406,47.672380353247824,10.41113978019322,2,Autobahn,A7,N
9592,0.0008823204588293,47.67238789334798,10.41113254981246,2,Autobahn,A7,N
9593,0.0008830310940464,47.672395430718936,10.411125306917684,2,Autobahn,A7,N
9594,0.0008837174508331,47.67240296109896,10.411118055952436,2,Autobahn,A7,N
9595,0.000884379684005,47.672410488347,10.41111079273171,2,Autobahn,A7,N
9596,0.0008850179646755,47.672418013614404,10.411103516406877,2,Autobahn,A7,N
9597,0.0008856324795071,47.67242553127305,10.411096232539188,2,Autobahn,A7,N
9598,0.0008862234302855,47.67243304616189,10.411088935993066,2,Autobahn,A7,N
9599,0.0008867910343907,47.672440553880385,10.411081631557595,2,Autobahn,A7,N
9600,0.0008873355233889,47.672448058825296,10.411074314668245,2,Autobahn,A7,N
9601,0.0008878571427137,47.672455556471775,10.411066989804226,2,Autobahn,A7,N
9602,0.0008883561525703,47.67246305113049,10.411059652663523,2,Autobahn,A7,N
9603,0.0008888328265685,47.67247054388281,10.411052302538337,2,Autobahn,A7,N
9604,0.0008892874505425,47.672478028393755,10.411044945141333,2,Autobahn,A7,N
9605,0.0008897203228555,47.672485511164105,10.411037574563023,2,Autobahn,A7,N
9606,0.0008901317543729,47.67249298586285,10.411030196740953,2,Autobahn,A7,N
9607,0.0008905220683077,47.67250045804067,10.411022806216682,2,Autobahn,A7,N
9608,0.0008908915982853,47.67250792297183,10.411015408064694,2,Autobahn,A7,N
9609,0.0008912406860087,47.67251538520441,10.411007997359699,2,Autobahn,A7,N
9610,0.0008915696827448,47.67252283995431,10.411000579044106,2,Autobahn,A7,N
9611,0.0008918789510917,47.6725302917908,10.410993148401277,2,Autobahn,A7,N
9612,0.0008921688631965,47.672537741671654,10.410985704918518,2,Autobahn,A7,N
9613,0.0008924397992589,47.67254518366522,10.410978253978238,2,Autobahn,A7,N
9614,0.0008926921477994,47.67255262343941,10.410970790381095,2,Autobahn,A7,N
9615,0.0008929263049475,47.672560055694646,10.410963319236034,2,Autobahn,A7,N
9616,0.0008931426744577,47.67256748515854,10.41095583582994,2,Autobahn,A7,N
9617,0.0008933416686688,47.672574907051775,10.410948344863199,2,Autobahn,A7,N
